work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,experience_label
,EN,FT,Data Science Consultant,54000,EUR,64369,DE,50,DE,L,Entry-level
2020.0,SE,FT,Data Scientist,60000,EUR,68428,GR,100,US,L,Senior-level
,EX,FT,Head of Data Science,85000,USD,85000,RU,0,RU,M,Executive-level
,EX,FT,Head of Data,230000,USD,230000,RU,50,RU,L,Executive-level
,EN,FT,Machine Learning Engineer,125000,USD,125000,US,100,US,S,Entry-level
,SE,FT,Data Analytics Manager,120000,USD,120000,US,100,US,M,Senior-level
2020.0,MI,FT,Research Scientist,450000,USD,450000,US,0,US,M,Mid-level
2020.0,MI,FT,Data Analyst,41000,EUR,46759,FR,50,FR,L,Mid-level
2020.0,MI,FT,Data Engineer,65000,EUR,74130,AT,50,AT,L,Mid-level
,SE,FT,Data Science Engineer,159500,CAD,127543,CA,50,CA,L,Senior-level
,SE,FT,Manager Data Science,144000,USD,144000,US,100,US,L,Senior-level
,EN,FT,Data Scientist,13400,USD,13400,UA,100,UA,L,Entry-level
,MI,FT,Data Scientist,95000,CAD,75966,CA,100,CA,L,Mid-level
,MI,FT,Data Scientist,150000,USD,150000,US,100,US,M,Mid-level
2020.0,MI,FT,Data Science Consultant,103000,USD,103000,US,100,US,L,Mid-level
,SE,FT,Data Engineering Manager,153000,USD,153000,US,100,US,L,Senior-level
,MI,FT,Data Engineer,90000,USD,90000,US,100,US,L,Mid-level
,EN,FT,Data Analyst,90000,USD,90000,US,100,US,S,Entry-level
,EN,FT,Data Analyst,60000,USD,60000,US,100,US,S,Entry-level
,MI,FT,Data Scientist,50000,USD,50000,NG,100,NG,L,Mid-level
,EN,PT,AI Scientist,12000,USD,12000,PK,100,US,M,Entry-level
,MI,PT,3D Computer Vision Researcher,400000,INR,5423,IN,50,IN,M,Mid-level
,MI,CT,ML Engineer,270000,USD,270000,US,100,US,L,Mid-level
,MI,FT,Applied Data Scientist,68000,CAD,54376,GB,50,CA,L,Mid-level
,MI,FT,Machine Learning Engineer,40000,EUR,47681,ES,100,ES,S,Mid-level
,EX,FT,Director of Data Science,130000,EUR,154963,IT,100,PL,L,Executive-level
,MI,FT,Data Engineer,110000,PLN,28801,PL,100,PL,L,Mid-level
,MI,FT,Data Analytics Engineer,110000,USD,110000,US,100,US,L,Mid-level
,EN,FT,Research Scientist,60000,GBP,83000,GB,50,GB,L,Entry-level
2020.0,EN,FT,Machine Learning Engineer,250000,USD,250000,US,50,US,L,Entry-level
,EN,FT,Data Analyst,50000,EUR,59601,FR,50,FR,M,Entry-level
,SE,FT,Data Analyst,80000,USD,80000,BG,100,US,S,Senior-level
2020.0,EN,FT,Data Analyst,10000,USD,10000,NG,100,NG,S,Entry-level
2020.0,EN,FT,Machine Learning Engineer,138000,USD,138000,US,100,US,S,Entry-level
,MI,FT,Data Engineer,140000,USD,140000,US,100,US,L,Mid-level
,SE,FT,Data Analytics Engineer,67000,EUR,79866,DE,100,DE,L,Senior-level
,SE,FT,Lead Data Analyst,170000,USD,170000,US,100,US,L,Senior-level
,EN,FT,Data Analyst,80000,USD,80000,US,100,US,M,Entry-level
2020.0,MI,FT,Data Scientist,45760,USD,45760,PH,100,US,S,Mid-level
,MI,FT,BI Data Analyst,100000,USD,100000,US,100,US,M,Mid-level
,SE,FT,Data Scientist,45000,EUR,53641,FR,50,FR,L,Senior-level
,EX,FT,Head of Data,235000,USD,235000,US,100,US,L,Executive-level
,EX,FT,BI Data Analyst,150000,USD,150000,IN,100,US,L,Executive-level
2020.0,EX,FT,Data Engineering Manager,70000,EUR,79833,ES,50,ES,L,Executive-level
,EN,FT,Machine Learning Scientist,225000,USD,225000,US,100,US,L,Entry-level
,EN,FT,Data Science Consultant,65000,EUR,77481,DE,100,DE,S,Entry-level
2020.0,MI,FT,Machine Learning Infrastructure Engineer,44000,EUR,50180,PT,0,PT,M,Mid-level
,SE,FT,Marketing Data Analyst,75000,EUR,89402,GR,100,DK,L,Senior-level
,SE,FT,Lead Data Engineer,75000,GBP,103750,GB,100,GB,S,Senior-level
,SE,FT,Director of Data Engineering,82500,GBP,114125,GB,100,GB,M,Senior-level
,SE,FT,Machine Learning Engineer,80000,EUR,95362,DE,50,DE,L,Senior-level
,EN,FT,Data Engineer,2250000,INR,30509,IN,100,IN,L,Entry-level
,SE,FT,Data Engineer,150000,USD,150000,US,100,US,M,Senior-level
,SE,FT,Data Engineer,115000,USD,115000,US,100,US,S,Senior-level
,MI,FT,Research Scientist,235000,CAD,187917,CA,100,CA,L,Mid-level
,MI,FT,Data Analyst,37456,GBP,51814,GB,50,GB,L,Mid-level
2020.0,MI,FT,Data Engineer,106000,USD,106000,US,100,US,L,Mid-level
2020.0,MI,FT,Data Engineer,88000,GBP,112872,GB,50,GB,L,Mid-level
,MI,FT,BI Data Analyst,11000000,HUF,36732,HU,50,US,L,Mid-level
,SE,FT,Data Engineer,150000,USD,150000,US,100,US,L,Senior-level
