id,work_year,experience_level,experience_label,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
168,,MI,Mid-level,FT,Machine Learning Engineer,180000,PLN,47129,PL,100,PL,L
169,2020,MI,Mid-level,FT,Data Analyst,8000,USD,8000,PK,50,PK,L
170,2020,EN,Entry-level,FT,Data Engineer,4450000,JPY,41689,JP,100,JP,S
171,2020,SE,Senior-level,FT,Big Data Engineer,100000,EUR,114047,PL,100,GB,S
172,,MI,Mid-level,FT,Machine Learning Engineer,75000,EUR,89402,BE,100,BE,M
173,2020,EN,Entry-level,FT,Data Science Consultant,423000,INR,5707,IN,50,IN,M
174,2020,MI,Mid-level,FT,Lead Data Engineer,56000,USD,56000,PT,100,US,M
175,,EN,Entry-level,PT,Computer Vision Engineer,180000,DKK,28850,DK,50,DK,S
176,,MI,Mid-level,FT,Data Scientist,75000,EUR,89402,DE,50,DE,L
177,2020,MI,Mid-level,FT,Machine Learning Engineer,299000,CNY,43331,CN,0,CN,M
178,2020,MI,Mid-level,FT,Product Data Analyst,450000,INR,6072,IN,100,IN,L
179,2020,SE,Senior-level,FT,Data Engineer,42000,EUR,47899,GR,50,GR,L
180,2020,MI,Mid-level,FT,BI Data Analyst,98000,USD,98000,US,0,US,M
181,,MI,Mid-level,FT,Data Engineer,48000,GBP,66400,HK,50,GB,S
182,,MI,Mid-level,FT,Research Scientist,48000,EUR,57217,FR,50,FR,S
183,,MI,Mid-level,FT,Machine Learning Engineer,21000,EUR,25032,SI,50,SI,L
184,,SE,Senior-level,FT,Data Analytics Manager,120000,USD,120000,US,0,US,L
185,,MI,Mid-level,FL,Data Engineer,20000,USD,20000,IT,0,US,L
186,2020,EX,Executive-level,FT,Director of Data Science,325000,USD,325000,US,100,US,L
187,,SE,Senior-level,FT,Machine Learning Engineer,200000,USD,200000,US,100,US,L
188,2020,EN,Entry-level,FT,AI Scientist,300000,DKK,45896,DK,50,DK,S
189,,MI,Mid-level,FT,Data Scientist,160000,USD,160000,US,100,US,L
190,,SE,Senior-level,FT,Research Scientist,50000,USD,50000,FR,100,US,S
191,,MI,Mid-level,FT,Data Science Engineer,34000,EUR,40529,GR,100,GR,M
192,,EX,Executive-level,FT,Principal Data Engineer,600000,USD,600000,US,100,US,L
193,,MI,Mid-level,FT,Data Scientist,69600,BRL,13000,BR,0,BR,S
